taxa,PC1,PC2,PC3
LAR2N102,71.9879580873197,-8.29348444136209,-4.65650578492055
LAR2N103,63.8913146782507,-5.84168060037831,-7.63933340301567
LAR2N11,68.694062397602,-5.49848647555172,6.58446159963671
LAR2N110,63.3482193524153,-5.16026185590439,18.6294800666211
LAR2N112,68.1516277029827,0.263357103543019,-11.9648672871369
LAR2N113,70.5752577537493,-6.13867367881021,-8.63542014134583
LAR2N115,68.0520772934148,-6.41924750353332,4.99323880638525
LAR2N117,64.5224746960442,-6.07364080919879,-11.4765706495364
LAR2N119,70.1456397617752,-14.1140856907542,7.75648103256512
LAR2N12,64.563133731193,-3.72340466114711,9.16023510721323
LAR2N120,63.6977246881597,2.49528187510149,-6.14020816103606
LAR2N121,75.82559330385,-4.51093331465099,-14.2092577931423
LAR2N17,58.4273273202369,-4.29584629322402,-2.37626162518395
LAR2N18,66.9802842587232,-2.59692083298818,12.4513871501693
LAR2N2,75.3647293175641,2.3275052462958,-16.4632382411991
LAR2N20,67.3463605456187,-5.48100355333401,-15.6041580594806
LAR2N21,75.7128515904144,-0.844692357922767,19.9980581748327
LAR2N22,65.1941669713311,2.88115409388522,-0.98978232982061
LAR2N23,63.9917134378811,-5.48762743877719,5.10536969839702
LAR2N28,63.2024974701834,1.53511777058795,6.79288876046104
LAR2N29,67.1487787197063,-9.67181783264146,0.188611143407018
LAR2N3,63.9691557864986,-3.92557803946278,25.8824554496185
LAR2N31,65.7837010166558,-4.54824345328953,11.6328923723745
LAR2N32,63.9952474301533,-4.23869587343741,24.9424034442047
LAR2N33,70.8992824802425,-5.87941027231923,-5.16085692543109
LAR2N34,57.3525935767946,-4.7119522145758,17.2090349502687
LAR2N35,69.8723065963159,-3.94573598043491,22.0196815284246
LAR2N36,69.0425816034073,0.522395280524961,2.05423234134668
LAR2N37,65.4912541946657,-1.21558249814501,8.5867303847673
LAR2N38,59.2125383950212,-7.30375270844842,-4.89658233484705
LAR2N39,65.4843633543692,-6.51162220757668,7.19434641392928
LAR2N40,73.3608034465704,3.93953663611968,11.5656516951614
LAR2N42,69.5853427518715,0.761506148815075,-2.02043336002011
LAR2N44,68.1506414158461,-1.04267773419623,-15.3896517042439
LAR2N54,62.7333457506261,-0.243178736775186,-2.11129468780486
LAR2N55,65.9956026237499,-8.20450340576789,14.8205285764674
LAR2N56,68.203441898565,-8.24072164560005,-1.20380576527902
LAR2N57,60.586937936891,-11.5202425481423,-5.73806522033761
LAR2N58,62.0600279795955,-2.00637090376777,5.15513561816318
LAR2N59,64.7837543732711,1.3497218523867,-6.54994638648906
LAR2N6,68.1950882820339,-1.98962632723722,3.70076716051876
LAR2N60,68.6389210044281,7.41736106887865,-7.01474302109041
LAR2N62,72.8288869650024,-1.01214896383335,-5.63219962992843
LAR2N63,67.0205278212573,-0.344612090138733,-13.0159207547115
LAR2N65,61.0476895063366,-0.777775005096587,15.909765364254
LAR2N67,75.4498154875315,-0.786601562725426,-9.86684345623958
LAR2N68,72.4032379474904,3.89681446845417,-11.0346242360817
LAR2N69,67.8583064330489,3.8933808524902,2.8678976149387
LAR2N72,62.8318993137724,-3.88556403055532,5.32279164984379
LAR2N73,68.719680035256,-4.91622002573908,-1.37956833476995
LAR2N75,72.275636776165,-1.59121097749726,-5.43318029227869
LAR2N76,68.9015152751199,-2.51763349274721,-1.85135040725906
